taxon,nb_UVP5HD,nb_UVP5SD,nb_UVP6,regrouped1,regrouped2,regrouped3,lineage
misc,3518,3531,,other_living,other_living,other,/living/
to_rename,423,1698,,other_living,other_living,other,/living/
to_resort,6471,26197,,other_living,other_living,other,/living/
Nostocales,,1369,,other_living,other_living,other,/living/Bacteria/Cyanobacteria/
Trichodesmium,322,105870,,Trichodesmium,Trichodesmium,other,/living/Bacteria/Cyanobacteria/Cyanophyceae/Trichodesmium
puff,,,7427,Trichodesmium,Trichodesmium,other,/living/Bacteria/Cyanobacteria/Cyanophyceae/Trichodesmium/puff
tuff,,,4863,Trichodesmium,Trichodesmium,other,/living/Bacteria/Cyanobacteria/Cyanophyceae/Trichodesmium/tuff
Rhizaria,,,2202,Rhizaria_others,Rhizaria,other,/living/Eukaryota/Harosa/Rhizaria
Rhizaria_others,745,4072,,Rhizaria_others,Rhizaria,other,/living/Eukaryota/Harosa/Rhizaria
Acantharea,4046,11752,,Acantharia,Rhizaria,other,/living/Eukaryota/Harosa/Rhizaria/Acantharia
fuzzy,,,184,Acantharia,Rhizaria,other,/living/Eukaryota/Harosa/Rhizaria/Acantharia/fuzzy
spiky_Acantharia,,,201,Acantharia,Rhizaria,other,/living/Eukaryota/Harosa/Rhizaria/Acantharia/spiky
star_Acantharia,,,411,Acantharia,Rhizaria,other,/living/Eukaryota/Harosa/Rhizaria/Acantharia/star
Phaeodaria,11319,63689,,Phaeodaria,Rhizaria,other,/living/Eukaryota/Harosa/Rhizaria/Cercozoa/Thecofilosea/Phaeodaria
Aulacanthidae,,,295,Phaeodaria,Rhizaria,other,/living/Eukaryota/Harosa/Rhizaria/Cercozoa/Thecofilosea/Phaeodaria/Phaeocystida/Aulacanthidae
Coelodendridae,,,211,Phaeodaria,Rhizaria,other,/living/Eukaryota/Harosa/Rhizaria/Cercozoa/Thecofilosea/Phaeodaria/Phaeodendrida/Coelodendridae
spiky_Coelodendridae,,,109,Phaeodaria,Rhizaria,other,/living/Eukaryota/Harosa/Rhizaria/Cercozoa/Thecofilosea/Phaeodaria/Phaeodendrida/Coelodendridae/spiky
Aulosphaeridae,,,364,Phaeodaria,Rhizaria,other,/living/Eukaryota/Harosa/Rhizaria/Cercozoa/Thecofilosea/Phaeodaria/Phaeosphaerida/Aulosphaeridae
Aulatractus,,,111,Phaeodaria,Rhizaria,other,/living/Eukaryota/Harosa/Rhizaria/Cercozoa/Thecofilosea/Phaeodaria/Phaeosphaerida/Aulosphaeridae/Aulatractus
Foraminifera,510,3878,188,Foraminifera,Rhizaria,other,/living/Eukaryota/Harosa/Rhizaria/Retaria/Foraminifera
Collodaria,,,658,Collodaria,Rhizaria,other,/living/Eukaryota/Harosa/Rhizaria/Retaria/Polycystinea/Collodaria
Collodaria_colonial,559,2633,,Collodaria,Rhizaria,other,/living/Eukaryota/Harosa/Rhizaria/Retaria/Polycystinea/Collodaria
Collodaria_others,475,19839,,Collodaria,Rhizaria,other,/living/Eukaryota/Harosa/Rhizaria/Retaria/Polycystinea/Collodaria
